id,sentence_id,tag,quote,correction,start,end,annotation_source
26759,6024,"deriv,refl",саморегулирующего,саморегулирующегося,12,13,manual
26760,6024,ortho,зависит,зависеть,8,9,manual
9905,7001,ortho,Стали,Сталин,0,1,manual
9907,7001,conj,Как бы,Словно,17,19,manual
9927,7001,"syntax,transfer",там, ,8,9,manual
9929,7001,lex,везде.,повсюду,25,27,manual
124581,7001,punct,здания,"здания,",3,4,manual
9933,7002,"asp,morph",Стоив,Строя,0,1,manual
9936,7002,agrpers,остаться,остался,10,11,manual
124585,7002,punct,"власть,",власть,7,9,manual
12688,9002,gov,этим великолепным зданием,это великолепное здание,7,10,manual
12696,9003,"constr,transfer",в городе Москва,города Москвы,17,20,manual
12695,9004,"constr,transfer",Стоимость продажи,Стоимость здания,0,2,manual
12699,9004,"num,transfer",миллион,миллионов,7,8,manual
12693,9005,par,Обретая,Приобретая,0,1,manual
12694,9007,lex,помещение,здание,14,15,manual
18838,9007,"lex,transfer",убеждаем,повторяем,2,3,manual
124590,9007,,"Вас,","Вам,",3,5,manual
12703,10002,space,без домные,бездомные,2,4,manual
12704,10002,"lex,transfer",средств,способов,9,10,manual
18833,10002,conj,как,,10,11,manual
12705,10003,"ortho,subst",каторое,которое,5,6,manual
12706,10003,ortho,англиском,английском,12,13,manual
12707,10003,gov,Один,Одним,0,1,manual
12708,10003,"tense,punct",написано,"было написано,",16,17,manual
12710,10003,"constr,transfer",нужны деньги попасть,"нужны деньги, чтобы попасть",19,22,manual
124593,10003,punct,письмо,"письмо,",4,5,manual
124594,10003,punct,девочка,"девочка,",8,9,manual
124595,10003,punct,языке,"языке,",13,14,manual
12711,10004,ortho,група,группа,6,7,manual
12712,10004,"ortho,subst",дитей,детей,7,8,manual
12714,10004,"ref,subst,transfer",их,его,9,10,manual
12715,10004,"ref,deriv",ихнену,его,12,13,manual
124596,10004,punct,письмо,"письмо,",5,6,manual
18835,11001,"lex,not-clear",основу жизни,,12,14,manual
124598,12004,lex,остановки,перерыва,3,4,manual
12727,12006,"constr,transfer",Мои обязанности включают,В мои обязанности входит,0,3,manual
12728,12006,space,так же,также,13,15,manual
12899,12006,transfer,",",,9,10,manual
124603,12006,punct,"огороде,",огороде,26,28,manual
12735,12011,wo,"Он постоянно плачет,  бедный,","Он, бедный, постоянно плачет,",0,6,manual
7468,13001,"constr,asp",имеет силь,начинает,5,7,manual
7469,13001,num,вкус,вкусы,8,9,manual
7765,13001,"lex,prep,gov,transfer",идеи,представления о,14,15,manual
54646,13001,lex,изменять,менять,7,8,manual
54656,13001,lex,нормальности,норме,15,16,manual
7476,13006,agrnum,убедительный,убедительные,5,6,manual
8324,14001,ortho,25-ого,25-го,12,13,manual
8329,14003,asp,будет рассказывать,расскажет,2,4,manual
8332,14003,com,подробнее,подробно,1,2,manual
8326,14004,hyphen,вебсайте,веб-сайте,7,8,manual
124608,15001,asp,положит,кладет,3,4,manual
124610,15001,"lex,ortho",– пероидически, время от времени,1,3,manual
140322,15001,"conj,miss,space,extra",на пример,"как, например",8,10,manual
140323,15001,num,старом поезде,старых поездах,12,14,manual
8937,15003,"conj,miss",как,такие как,8,9,manual
8940,15005,punct,9,(,3,4,manual
8941,15005,"ortho,miss",правилно,правильно,6,7,manual
8942,15005,conj,что,кто,9,10,manual
8944,15007,"ortho,not-clear",сверам,сферам,9,10,manual
8949,15009,ortho,професиональных,профессиональных,4,5,manual
8954,15011,"ortho,subst",предлогать,предлагать,8,9,manual
8955,15011,agrgender,должно,должен,6,7,manual
124432,16004,,Почему?>.,Почему?>. ,0,4,manual
7481,16008,lex,с инструментами,с оркестром,35,37,manual
55607,16008,"lex,constr,gov",очень люблю,мне очень нравится,18,20,manual
7482,16009,lex,прямые,искренние,7,8,manual
55610,16009,"syntax,transfer,conj,wo","её музыка,  хотя минорная",,12,17,manual
55619,16009,"lex,not-clear",намекает,,18,19,manual
55622,16009,"lex,constr,transfer,idiom,prep",в некоторое отличие,в отличие,24,27,manual
7487,16017,constr,в приходе,прийти,16,18,manual
8963,16017,deriv,помогши,,14,15,manual
8964,16017,constr,кем за человека,что за человек,26,29,manual
55639,16017,"constr,conj","не только для Западной Европы,  но и для Восточной Европы","не только для Западной, но и для Восточной Европы",38,49,manual
7491,16018,brev,способен,способным,26,27,manual
124929,16018,,Молотова- Риббентропа,Молотова-Риббентропа,17,19,manual
55640,16019,ortho,Чего,чего,9,10,manual
7496,16022,lex,правда,верны,33,34,manual
55642,16022,"wo,transfer",заговорщиком какого-то рода,,7,10,manual
55643,16022,"constr,transfer",в расчёт,во внимание,16,18,manual
55645,16022,ref,свои,мои,27,28,manual
55646,16022,"constr,transfer",я нуждаюсь в ответах,мне нужно получить ответы,22,26,manual
7498,16023,"constr,transfer",Принимая в расчёт,Принимая во внимание,0,3,manual
55651,16023,"constr,transfer",мне кажется,можно считать,7,9,manual
55652,16023,"ref,transfer",какого-то, ,11,12,manual
98721,17002,translit,Портландском,Портлендском,14,15,manual
7512,17003,ortho,Современной,современной,11,12,manual
7514,17003,syntax,Цель,Целью,0,1,manual
138437,17003,agrgender,нашей,нашего,1,2,manual
12900,17006,"transfer,lex",планы,расписания,8,9,manual
8336,17009,"ref,transfer",по своим интересам,по интересам,5,8,manual
80273,17011,"gov,constr",по музыке и иностранным языкам,музыкой и иностранными языками,9,14,manual
7517,17014,"ortho,subst",зависило,зависело,20,21,manual
8337,17015,misspell,во сновном,в основном,1,3,manual
138427,17016,,шли на любые взятки,,7,11,manual
138428,17017,,"О здравоохранении в Советском Союзе мы узнали,  что оно было бесплатным.",,0,13,manual
8338,17018,constr,платные компании и медицинская страховка,платные медицинские компании и страховка,4,9,manual
8339,17019,ortho,нетрадиционые,нетрадиционные,6,7,manual
8341,17020,space,само лечением,самолечением,11,13,manual
8342,17020,"constr,transfer",Ходить к врачам занимало,Поход к врачам занимал/ Посещение врачей занимало,0,4,manual
8344,17022,"lex,transfer",самопродукцией,самостоятельным производством/ сами шили одежду,12,13,manual
138429,17022,,"О моде в Советском Союзе мы узнали,  что многие люди занимались",,0,12,manual
7520,17023,"subst,constr",в,на,5,6,manual
138430,17023,,Во- первым,,0,2,manual
138431,17026,,одеваться так как одеваются все,,6,11,manual
8351,17028,not-clear,стиля,,6,7,manual
8373,17029,not-clear,следят ли за модой в России все,,3,10,manual
7521,17030,morph,скорей,скорее,4,5,manual
7522,17030,"transfer,syntax",как, ,11,12,manual
7523,17030,"ortho,subst",проважают,провожают,33,34,manual
138517,17034,,« Вы».,,18,22,manual
8357,17035,"ortho,subst",некоторие,некоторые,8,9,manual
138434,17035,,более принято,,1,3,manual
7525,17036,lex,аксессуары,украшения,10,11,manual
138435,17036,,одевать,,9,10,manual
138436,17036,,кроме,,11,12,manual
7526,17037,"wo,syntax",самовыражение в одежде стало возможным,стало возможным самовыражение в одежде,13,18,manual
8359,17038,ortho,отсуствия,отсутствия,3,4,manual
8360,17038,constr,стал быть заметным,стал заметен,5,8,manual
8362,17038,hyphen,из за,из-за,1,3,manual
8363,17039,"constr,syntax","У кого больше денег,  тем лучше","Чем больше денег, тем лучше",0,7,manual
7528,17040,lex,разделения,различий,16,17,manual
7508,18004,ortho,эскурсия,экскурсия,1,2,manual
7504,18007,"ortho,subst",трещены,трещины,2,3,manual
27231,18007,lex,выходят,просачиваются,5,6,manual
7502,18011,"constr,syntax",подтвергать,подвергать опасности,12,13,manual
9911,18011,ortho,эскурсия,экскурсия,5,6,manual
9988,18011,"conj,space",что бы,чтобы,10,12,manual
7509,18012,ortho,радиционный,радиационный,1,2,manual
9913,18013,"conj,space",что бы,чтобы,11,13,manual
7503,18014,num,познаний,познания,4,5,manual
7531,19005,"constr,lex",ее водил,появлялся вместе с ней,8,10,manual
7984,19005,agrgender,забыла,забыл,1,2,manual
8766,19008,"idiom,transfer",ее,,6,7,manual
7532,19010,lex,печальной,трагичной,27,28,manual
8767,19012,ref,его,своему,6,7,manual
7533,19016,lex,такой,таковой,10,11,manual
7534,19017,agrcase,том,тот,9,10,manual
8926,19017,ref,ее,свою,3,4,manual
8788,22001,lex,написанная,сформулированная,1,2,manual
8789,22003,"agrcase,gov",провлемой,проблеме,7,8,manual
8790,22003,"ortho,subst",женшинах,женщинах,4,5,manual
8791,22004,ortho,рбенок,ребёнок,2,3,manual
8792,22004,"ortho,misspell",предуприждет,предупреждает,6,7,manual
8794,22004,altern,о,об,8,9,manual
73011,22004,"infl,subst",родителий,родителей,7,8,manual
8793,22005,"ortho,misspell",окуратно,аккуратно,2,3,manual
8883,23001,agrgender,один,одна,5,6,manual
8796,23002,par,не легко,непросто,12,14,manual
8808,23002,impers,найдется,найти,14,15,manual
8810,23004,wo,ясна очень,очень ясна,2,4,manual
8887,23006,lex,противников,оппонентов,5,6,manual
8820,23012,"constr,lex",кризиса вообше не показывается,кризис вообще не заметен,14,18,manual
8889,23012,"lex,syntax",берегов океанов,океаническое побережье,11,13,manual
8823,23013,"gov,infl",внимание,внимания,5,6,manual
8824,23013,"agrcase,agrnum",такой,таких,12,13,manual
8828,23013,lex,черт,особенностей,14,15,manual
8890,23014,"lex,constr",натуральных черт,природных особенностей,21,23,manual
8891,23014,lex,приходит,появляется,23,24,manual
8834,23016,ortho,видет,видеть,3,4,manual
8894,23016,lex,кризис,кризис нехватки,5,6,manual
8895,23016,lex,противники,оппоненты,11,12,manual
8897,23016,"constr,lex,asp",приехали в такие места,побывали в таких местах,12,16,manual
8837,23018,"gov,agrcase",кризисе,кризиса,19,20,manual
8838,23018,par,сущность,существование,18,19,manual
8841,23018,asp,доказывать,доказать,17,18,manual
8844,23018,"not-clear,lex",половим,,1,2,manual
8845,23018,"gov,agrcase",противники,противников,3,4,manual
8112,23020,"conj,lex",но,а,6,7,manual
8848,23021,lex,тоже,также,1,2,manual
8851,23021,"lex,subst",учение,ученые,5,6,manual
8854,23021,"subst,misspell",гуды,году,11,12,manual
8856,23021,lex,устроится,утроится,14,15,manual
8113,23023,"conj,lex,constr,transfer",тоже,и,12,13,manual
8899,23023,ref,Факт,Этот факт,0,1,manual
8900,23023,lex,проблема,проблема состоит,5,6,manual
8901,23023,lex,использовании,использовании воды,14,15,manual
8862,23024,"asp,tense",приходит,придёт,14,15,manual
8902,23024,lex,срочно,скоро,13,14,manual
8903,23024,ortho,к,ко,15,16,manual
11352,23024,ortho,проблем,проблема,10,11,manual
11360,23024,ortho,Во - третьих,В-третьих,0,3,manual
8864,23025,asp,договариваться,договориться,8,9,manual
8865,23025,"lex,subst",из,их,12,13,manual
8905,23026,lex,Противники,Оппоненты,0,1,manual
8906,23026,lex,кризис,кризис - это,5,6,manual
8907,23026,lex,еще,также,1,2,manual
8868,23028,neg,не само по себе означает,само по себе не означает,2,7,manual
8869,23029,gov,политика,политики,9,10,manual
8870,23029,"lex,idiom",само,само по себе,13,14,manual
8873,23029,gov,кризис,кризиса,17,18,manual
8875,23030,mode,Если,Если бы,0,1,manual
8876,23030,agrgender,был,было,10,11,manual
8877,23030,lex,обсужден,вести,12,13,manual
8878,23031,lex,ситуаций,проблем,13,14,manual
87071,23031,prep,для,,14,15,manual
8879,23032,gov,кризис,кризиса,4,5,manual
8911,23032,lex,Противники,Оппоненты,0,1,manual
8913,24001,lex,для существования,,14,16,manual
8914,24002,"ortho,transp",огранизма,организма,6,7,manual
8915,24002,"ortho,transp",сосоит,состоит,7,8,manual
8916,24003,"ortho,transp",огранизм,организм,9,10,manual
8917,24003,asp,перегреваться,перегреться,12,13,manual
8918,24005,"agrcase,agrnum",многим,многом,4,5,manual
8919,24005,ref,всего,из того,5,6,manual
8920,24005,ortho,в,во,3,4,manual
8921,24006,"agrstr,gov,constr",Используя водой,Используя воду,0,2,manual
8923,24007,lex,много,многие,8,9,manual
8912,24008,"ortho,transp",огранической,органической,9,10,manual
8924,24008,"gov,prep,constr",для нас,нам,3,5,manual
12206,26001,space,не смотря,несмотря,7,9,manual
12265,26001,ref,его,свою,10,11,manual
12207,26002,wo,Карьера неспециализированная,Неспециализированная карьера,0,2,manual
12208,26002,"wo,agrnum,lex",существуют тоже,тоже бывает,2,4,manual
12368,26002,"wo,ortho,lex",менще здесь,здесь реже,6,8,manual
12213,26003,conj,в,на,3,4,manual
12216,26003,deriv,работчик,рабочий,5,6,manual
12218,26003,infl,занимаеться,занимается,6,7,manual
12249,26003,lex,многими,разной,7,8,manual
12251,26003,num,работами,работой,8,9,manual
12361,26003,ref,у него,у него при этом,11,13,manual
12362,26003,aux,карьера,есть карьера,13,14,manual
12371,26003,"ortho,constr",Может быт,Бывает,0,2,manual
12224,26004,ortho,специализированая,специализированная,2,3,manual
12226,26004,"ortho,lex",болше,большую,5,6,manual
12234,26004,"ortho,gov",заплата,зарплату,6,7,manual
12237,26004,ortho,быт,быть,10,11,manual
12244,26004,ortho,карера,карьера,3,4,manual
12285,27001,"lex,par",одинаковой,одной,12,13,manual
12419,28001,"lex,par",правила,правления,13,14,manual
12422,28001,gov,стабилизации,установлением,11,12,manual
12423,28002,"ortho,gender",Рус,Русь,2,3,manual
12424,28002,"agrgender,tense",должен,должна была,3,4,manual
12426,28002,wo,выплачивать огромнную дань ежегодно,ежегодно выплачивать огромную дань,4,8,manual
12429,28002,"gov,constr,syntax",одной причиной,одной из причин,11,13,manual
12431,28002,ortho,Народу,Наряду,19,20,manual
88368,28002,"lex,idiom",дать место,,29,31,manual
12449,28004,ref,боялись,боялись того,1,2,manual
12450,28004,mode,если,если бы,7,8,manual
12451,28004,tense,может,могло,4,5,manual
12452,28004,"lex,transfer",консолидировали,объединили,9,10,manual
12453,28004,ref,их,свои,10,11,manual
12454,28004,lex,контролем,силы,11,12,manual
12443,28005,"lex,constr","обеспечили,  что","сделали так, чтобы",2,5,manual
12444,28005,conj,и,а,10,11,manual
12445,28005,asp,убили,убивали,14,15,manual
12446,28005,ortho,Татары,татары,1,2,manual
12442,28006,asp,заставил,заставлял,9,10,manual
12458,28006,not-clear,Сила князей,,0,2,manual
86031,28006,agrnum,пришли,,2,3,manual
86105,28006,"lex,miss",в армию,идти в армию,11,13,manual
12440,28007,"wo,ortho,lex",Явялось мало культурных достижений во время ига,Во время ига произошло мало культурных достижений,0,7,manual
12439,28008,ortho,Татры,Татары,0,1,manual
12448,28008,constr,сами за себя,для себя,4,7,manual
12437,28009,num,его,их,10,11,manual
12438,28009,asp,сохранили,сохраняли,4,5,manual
43,31001,lex,строения,,7,8,manual
44,31003,lex,строения,,7,8,manual
26761,31005,gov,желание,желании,13,14,manual
26762,31005,"ortho,subst",особенна,особенно,3,4,manual
10616,32001,"ortho,hyphen",2009 ого,2009-го,1,3,manual
10660,32001,"ortho,agrgender",дальней востоке,Дальнем Востоке,11,13,manual
10662,32001,"prep,transfer",в,на,10,11,manual
10622,32002,agrnum,назвались,назывался,1,2,manual
140332,32002,"syntax,ortho",дальней востоке,Дальний Восток,5,7,manual
10627,32003,refl,встречали,встречались,1,2,manual
10681,32003,lex,каждый,один,5,6,manual
10634,32004,num,отношением,отношениями,2,3,manual
10635,32004,"ortho,hyphen",19 ого,19-го,15,17,manual
10636,32004,"ortho,hyphen",20 ого,20-го,19,21,manual
10637,32006,constr,Каждая неделя,Каждую неделю,0,2,manual
10639,32008,ortho,Некогда,Никогда,0,1,manual
10641,32008,gov,работы,работ,6,7,manual
10684,32008,asp,проверила,проверяла,15,16,manual
140334,32008,prep,через еженедельные доклады и разговоры,посредством еженедельных докладов и разговоров,9,14,manual
10644,32010,"space,deriv",по- русский,по-русски,15,17,manual
86109,32010,"space,deriv",по- английский,по-английски,18,20,manual
10648,32011,"agrgender,ortho,miss",бло,была,1,2,manual
10650,32011,"space,deriv",по- русский,по-русски,6,8,manual
140335,32011,lex,проводить,переводить,9,10,manual
140336,32011,prep,русский,с русского,10,11,manual
10688,33001,not-clear,ПГУ флагманцы,,1,3,manual
10654,33002,gov,равноправие,равноправия,21,22,manual
10655,33003,agrgender,изменилось,изменилась,5,6,manual
10656,33004,agrnum,праве,правах,4,5,manual
10657,33004,num,какие,какое,10,11,manual
10658,33004,num,мнения,мнение,13,14,manual
48,34002,morph,восприминают,,10,11,manual
7967,34004,ortho,посещано,посвящено,14,15,manual
7997,34005,"conj,lex",а,но и,15,16,manual
10664,35001,del,обинять,обвинять,6,7,manual
10705,35001,"lex,num",действе,действиях,9,10,manual
10712,35001,insert,решить,,17,18,manual
10665,35002,hyphen,По моему,По-моему,0,2,manual
10714,35002,lex,в целом,совсем,4,6,manual
10668,35003,"gov,prep,constr",судьбе,судьбу,4,5,manual
10715,35003,wo,влят огромно,сильно влияет,1,3,manual
10671,35004,agrnum,состоят,состоит,1,2,manual
10710,35005,lex,подозрительно,виновато,5,6,manual
10721,36007,constr,имеет,играет,3,4,manual
7745,37003,"constr,transfer",сказал раньше,"уже сказал,",2,4,manual
7537,37004,constr,« игра слов», игра со словами,2,6,manual
7746,37004,"lex,ortho",настояшие,подлинное,7,8,manual
7538,37005,lex,как,что,1,2,manual
7539,37005,lex,собственого,своего,10,11,manual
7540,37005,ortho,принемают,принимают,8,9,manual
7749,37005,ortho,не,ни,2,3,manual
7760,37005,delw,как,,9,10,manual
7541,37006,lex,подлинным,настоящим,20,21,manual
7750,37006,constr,меня видят как,во мне видят,2,5,manual
7753,37006,ortho,Американизированным,американизированным,14,15,manual
7754,37006,ortho,Украинцем,украинцем,15,16,manual
7759,37006,ortho,Америки,Америке,1,2,manual
9306,37006,lex,в,на,8,9,manual
9661,37006,insert,как, ,12,13,manual
7542,37007,lex,петлю,западню,2,3,manual
7543,37007,ortho,каждий,каждый,4,5,manual
7755,37007,gov,это,эту,1,2,manual
7764,37009,gov,интерес,интерес к,3,4,manual
9309,37009,agrcase,обоих стран,обеим странам,4,6,manual
7548,37010,constr,на крупном плане,в общем,9,12,manual
10679,38001,lex,дать,рассказать,11,12,manual
10680,38001,lex,историю,историю города,12,13,manual
10725,38001,lex,обучение,научить их,14,15,manual
10726,38001,"gov,constr,agrstr",русского языка,русскому языку,15,17,manual
11771,38001,"agrstr,gov,lex,syntax",города,о городе,6,7,manual
9672,38002,altern,с,со,1,2,manual
9061,38003,constr,имеют основание в,основаны на,11,14,manual
9051,38004,lex,Нижнем,Нижнем Новгороде,13,14,manual
9052,38005,"agrnum,asp",показывала,показали,6,7,manual
9054,38005,"ref,agrstr",меня,мне,7,8,manual
10687,38005,altern,о,об,13,14,manual
10735,38005,asp,рассказывали,рассказали,10,11,manual
9063,38006,gov,книга,книгу,6,7,manual
10689,38006,altern,о,об,11,12,manual
9067,38007,ortho,друзям,друзьям,15,16,manual
9068,38007,lex,Нижнем,Нижнем Новгороде,26,27,manual
10691,38007,wo,я могла бы,бы я могла,9,12,manual
9069,38008,"wo,ortho",Кэрстоун проекте,проекте Кэпстоун,8,10,manual
9071,38008,wo,книгу о них,о них книгу,24,27,manual
9674,38008,ortho,разговоривала,разговаривала,2,3,manual
10697,38009,transfer,сделали выбор,решили,2,4,manual
10699,38009,constr,будет,в книге будет,6,7,manual
10702,38009,constr,впечатление,впечатление о городе,13,14,manual
10703,38009,lex,дают,создают,11,12,manual
10704,38010,"gov,constr",о легендах,легендам,14,16,manual
88369,38010,lex,дали,положили,12,13,manual
88370,38010,lex,текущих,,8,9,manual
9078,38013,"lex,prep",в курсе,на курсе,7,9,manual
8114,38014,"conj,lex",но,и,10,11,manual
10708,38014,asp,могут понимать,смогут понять,7,9,manual
9079,38015,ortho,контрольировать,контролировать,1,2,manual
9080,38016,lex,Тоже,Также,0,1,manual
9082,38016,syntax,сделать,"в том, чтобы сделать",3,4,manual
9083,38016,gov,длинные,длинными,6,7,manual
9085,38017,"ref,agrnum",нем,них,7,8,manual
9086,38017,"agrcase,syntax",ситуацию,ситуация,9,10,manual
10713,38017,"lex,conj",и,или,13,14,manual
9087,38018,"conj,lex",или,и,6,7,manual
9088,38018,ortho,предпологают,предполагают,17,18,manual
9090,38018,lex,Нижнем,Нижнем Новгороде,21,22,manual
10738,38018,constr,прежное знание,наличие знания,18,20,manual
9092,38019,infl,персонажов,персонажей,13,14,manual
9094,38019,ortho,героя,герои,16,17,manual
10716,38019,asp,приукрашивали,приукрасили,6,7,manual
10717,38019,num,развития,развитие,12,13,manual
9096,38020,ortho,забоиться,заботиться,13,14,manual
10719,38020,altern,о,об,14,15,manual
9098,38021,ortho,итории,истории,6,7,manual
9099,38022,"ortho,transfer",проблеммы,проблемы,5,6,manual
88371,38022,"gov,constr",о том,c тем,6,8,manual
9101,38024,"lex,conj",что,которые,11,12,manual
9103,38024,agrnum,является,являются,12,13,manual
9104,38024,agrnum,сложным,сложными,13,14,manual
9105,38024,agrnum,скучным,скучными,15,16,manual
9106,38024,agrnum,жестоким,жестокими,18,19,manual
9107,38025,"prep,transfer",с проектом,проектом,3,5,manual
10722,38026,lex,все,их все,14,15,manual
9108,38027,ortho,Блогодаря,Благодаря,0,1,manual
9110,38027,"gov,constr,lex,syntax",города,о городе,5,6,manual
9111,38027,lex,впечатление,представление,4,5,manual
9116,38027,"gov,agrcase,constr",которое,которого,7,8,manual
9117,38027,ortho,читательям,читателям,18,19,manual
9118,38027,lex,дать,передать,15,16,manual
9119,38027,lex,впечатление,представление,17,18,manual
9130,38029,asp,буду слышать,услышу,5,7,manual
9191,39001,ortho,спецальности,специальности,4,5,manual
9192,39002,ortho,спецальности,специальности,2,3,manual
9196,39002,agrgender,которую,который,4,5,manual
9200,39002,"gov,syntax",Принципами,«Принципы,11,12,manual
9203,39004,"gov,agrcase,gender",этом,этой,1,2,manual
9205,39004,"gov,agrgender",четверте,четверти,2,3,manual
9206,39004,lex,в,на,8,9,manual
9215,39005,agrnum,работают,работает,4,5,manual
9218,39006,misspell,квалификацы,квалификацию,9,10,manual
9224,39006,not-clear,бывшие,,8,9,manual
9225,39007,"lex,transfer",На,В,0,1,manual
9226,39007,"gov,gender",группов,групп,9,10,manual
9227,39008,space,в месте,вместе,7,9,manual
9675,39008,"lex,gov,constr,transfer",для,до,18,19,manual
9228,39010,gov,нам,нас,3,4,manual
9229,39010,ortho,фундаментальмыми,фундаментальными,5,6,manual
9230,39011,ortho,стати,статьи,11,12,manual
9231,39012,ortho,стати,статьи,1,2,manual
9676,39012,syntax,написанные,написаны,3,4,manual
9235,39013,ortho,тчение,течение,1,2,manual
9236,39013,ortho,стати,статьи,6,7,manual
9237,39013,agrcase,входящие,входящую,18,19,manual
9239,39013,agrcase,любой,любую,20,21,manual
9241,39013,"gov,agrcase,ortho",стате,статью,21,22,manual
9677,39014,lex,составляет,состоит,4,5,manual
9678,39015,gov,литература,на литературу,3,4,manual
9243,39016,"agrcase,syntax",разницу,разница,2,3,manual
9244,39017,num,научных,научном,8,9,manual
9246,39017,num,анализах,анализе,9,10,manual
9248,39018,ortho,компъютерной,компьютерной,5,6,manual
9249,39018,ortho,матиматические,математические,11,12,manual
9251,39018,lex,анализы,вычисления,12,13,manual
9252,39019,ortho,исследователам,исследователям,3,4,manual
9262,39022,refl,учим,учимся,1,2,manual
9271,39022,ortho,английскои,английском,6,7,manual
9275,39023,num,слова,слов,5,6,manual
9277,39023,num,выражения,выражений,7,8,manual
9280,39023,num,на какие,какая,10,12,manual
9282,39023,num,информации,информация,12,13,manual
9283,39023,agrnum,нужны,нужна,13,14,manual
9286,39024,"ortho,agrcase",писменной,письменные,4,5,manual
9289,39025,ortho,напивала,написала,2,3,manual
9290,39026,ortho,стати,статьи,7,8,manual
9680,39026,del,называется,которая называется,9,10,manual
140107,39026,рецензией,рецензой,Infl,10,11,manual
9291,39027,ortho,използовал,использовал,7,8,manual
9293,39027,ortho,стате,статье,23,24,manual
9294,39028,lex,дать,сдать,5,6,manual
9296,39030,asp,рассматрывать,рассмотреть,3,4,manual
9298,39030,"gov,agrcase",детей,детях,6,7,manual
9300,39032,ortho,стати,статьи,3,4,manual
9301,39032,ortho,исползовать,использовать,20,21,manual
9302,39033,ortho,стати,статьи,18,19,manual
9681,39033,misspell,рецензу,рецензию,10,11,manual
9682,39033,ortho,литенратуры,на литературу,11,12,manual
9312,40003,"gov,prep,constr",проблема в том,"проблема, которая состоит в том",3,6,manual
9321,40003,del,в основном,в основном только c,23,25,manual
9684,41003,"lex,syntax",других стран,в других странах,5,7,manual
9689,41004,lex,власть,авторитет,6,7,manual
9690,41004,num,решения,решение,12,13,manual
9691,41004,lex,прошли,снизились,15,16,manual
9346,41005,ortho,отметит,отметить,1,2,manual
9347,41005,ortho,обшего,общего,8,9,manual
9348,41005,del,вопросах,"вопросах, касающихся",20,21,manual
9349,41006,lex,составить,изложить свою,9,10,manual
9350,41007,constr,научно-технологическую,научно-технической области,15,16,manual
9692,41007,lex,области,вопросы,8,9,manual
9351,41008,ortho,Обединенных,Объединенных,7,8,manual
9685,41008,"conj,constr,lex,transfer",и,а,13,14,manual
9352,41009,"ortho,num",обсужденниях,обсуждении,5,6,manual
9357,41009,"conj,constr,transfer,space",так же и,а также,9,12,manual
9686,41012,conj,как,что,3,4,manual
9687,41012,conj,как,"считает, что",18,19,manual
9695,41015,constr,этом компоненте,этой сфере,2,4,manual
9361,41016,ortho,последные,последние,2,3,manual
9362,41016,ortho,сокрашению,сокращению,9,10,manual
9363,41016,ortho,алтернативные,альтернативные,16,17,manual
9696,41016,ortho,энергозависимосити,энергозависимости,22,23,manual
9364,41017,ortho,устрайвает,устраивает,2,3,manual
